@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
143,110,0,1447,143,0.910063,1,0.070649,1,0.929351,0.131974,0.915882,1.091843,0.007244
144,110,0,1446,144,0.909434,1,0.070694,1,0.929306,0.132053,0.915294,1.092545,0.007293
145,110,0,1445,145,0.908805,1,0.07074,1,0.92926,0.132132,0.914706,1.093248,0.007317
146,110,0,1444,146,0.908176,1,0.070785,1,0.929215,0.132212,0.914118,1.093951,0.007396
147,110,0,1443,147,0.907547,1,0.070831,1,0.929169,0.132291,0.913529,1.094656,0.007469
148,110,0,1442,148,0.906918,1,0.070876,1,0.929124,0.132371,0.912941,1.095361,0.007471
149,110,0,1441,149,0.906289,1,0.070922,1,0.929078,0.13245,0.912353,1.096067,0.007482
150,110,0,1440,150,0.90566,1,0.070968,1,0.929032,0.13253,0.911765,1.096774,0.007533
151,110,0,1439,151,0.905031,1,0.071014,1,0.928986,0.13261,0.911176,1.097482,0.007541
152,110,0,1438,152,0.904403,1,0.071059,1,0.928941,0.13269,0.910588,1.098191,0.00761
153,110,0,1437,153,0.903774,1,0.071105,1,0.928895,0.13277,0.91,1.098901,0.007614
154,110,0,1436,154,0.903145,1,0.071151,1,0.928849,0.13285,0.909412,1.099612,0.007631
155,110,0,1435,155,0.902516,1,0.071197,1,0.928803,0.132931,0.908824,1.100324,0.007653
156,110,0,1434,156,0.901887,1,0.071244,1,0.928756,0.133011,0.908235,1.101036,0.007659
157,110,0,1433,157,0.901258,1,0.07129,1,0.92871,0.133091,0.907647,1.10175,0.007697
158,110,0,1432,158,0.900629,1,0.071336,1,0.928664,0.133172,0.907059,1.102464,0.007711
159,110,0,1431,159,0.9,1,0.071382,1,0.928618,0.133253,0.906471,1.10318,0.007741
160,110,0,1430,160,0.899371,1,0.071429,1,0.928571,0.133333,0.905882,1.103896,0.007773
161,110,0,1429,161,0.898742,1,0.071475,1,0.928525,0.133414,0.905294,1.104613,0.007773
162,110,0,1428,162,0.898113,1,0.071521,1,0.928479,0.133495,0.904706,1.105332,0.007794
163,110,0,1427,163,0.897484,1,0.071568,1,0.928432,0.133576,0.904118,1.106051,0.007823
164,110,0,1426,164,0.896855,1,0.071615,1,0.928385,0.133657,0.903529,1.106771,0.007859
165,110,0,1425,165,0.896226,1,0.071661,1,0.928339,0.133739,0.902941,1.107492,0.00788
166,110,0,1424,166,0.895597,1,0.071708,1,0.928292,0.13382,0.902353,1.108214,0.007897
167,110,0,1423,167,0.894969,1,0.071755,1,0.928245,0.133901,0.901765,1.108937,0.007942
168,110,0,1422,168,0.89434,1,0.071802,1,0.928198,0.133983,0.901176,1.109661,0.007946
169,110,0,1421,169,0.893711,1,0.071848,1,0.928152,0.134065,0.900588,1.110385,0.007967
170,110,0,1420,170,0.893082,1,0.071895,1,0.928105,0.134146,0.9,1.111111,0.007984
171,110,0,1419,171,0.892453,1,0.071942,1,0.928058,0.134228,0.899412,1.111838,0.007991
